2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:11 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:11 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
2022-09-29 19:10:12 DEBUG    Sending message [[2, 2, [255, 0, 0]], [10, 10, [0, 155, 255]]]
2022-09-29 19:10:12 DEBUG    Attemting to receive packet
